Date,Open,High,Low,Close,Adj Close,Volume
2023-08-28,19298.349609,19366.849609,19249.699219,19306.050781,19306.050781,248200
2023-08-29,19374.849609,19377.900391,19309.099609,19342.650391,19342.650391,307400
2023-08-30,19433.449219,19452.800781,19334.750000,19347.449219,19347.449219,233000
2023-08-31,19375.550781,19388.199219,19223.650391,19253.800781,19253.800781,562600
2023-09-01,19258.150391,19458.550781,19255.699219,19435.300781,19435.300781,333000
2023-09-04,19525.050781,19545.150391,19432.849609,19528.800781,19528.800781,296800
2023-09-05,19564.650391,19587.050781,19525.750000,19574.900391,19574.900391,256800
2023-09-06,19581.199219,19636.449219,19491.500000,19611.050781,19611.050781,287600
2023-09-07,19598.650391,19737.000000,19550.050781,19727.050781,19727.050781,304900
2023-09-08,19774.800781,19867.150391,19727.050781,19819.949219,19819.949219,288100
2023-09-11,19890.000000,20008.150391,19865.349609,19996.349609,19996.349609,248800
2023-09-12,20110.150391,20110.349609,19914.650391,19993.199219,19993.199219,328100
2023-09-13,19989.500000,20096.900391,19944.099609,20070.000000,20070.000000,251400
2023-09-14,20127.949219,20167.650391,20043.449219,20103.099609,20103.099609,275100
2023-09-15,20156.449219,20222.449219,20129.699219,20192.349609,20192.349609,438200
2023-09-18,20155.949219,20195.349609,20115.699219,20133.300781,20133.300781,264900
2023-09-20,19980.750000,20050.650391,19878.849609,19901.400391,19901.400391,378100
2023-09-21,19840.550781,19848.750000,19709.949219,19742.349609,19742.349609,275100
2023-09-22,19744.849609,19798.650391,19657.500000,19674.250000,19674.250000,246400
2023-09-25,19678.199219,19734.150391,19601.550781,19674.550781,19674.550781,188400
2023-09-26,19682.800781,19699.349609,19637.449219,19664.699219,19664.699219,204900
2023-09-27,19637.050781,19730.699219,19554.000000,19716.449219,19716.449219,203600
2023-09-28,19761.800781,19766.650391,19492.099609,19523.550781,19523.550781,352800
2023-09-29,19581.199219,19726.250000,19551.050781,19638.300781,19638.300781,243500
2023-10-03,19622.400391,19623.199219,19479.650391,19528.750000,19528.750000,221700
2023-10-04,19446.300781,19457.800781,19333.599609,19436.099609,19436.099609,277100
2023-10-05,19521.849609,19576.949219,19487.300781,19545.750000,19545.750000,234900
2023-10-06,19621.199219,19675.750000,19589.400391,19653.500000,19653.500000,159100
2023-10-09,19539.449219,19588.949219,19480.500000,19512.349609,19512.349609,165100
2023-10-10,19565.599609,19717.800781,19565.449219,19689.849609,19689.849609,216600
2023-10-11,19767.000000,19839.199219,19756.949219,19811.349609,19811.349609,213700
2023-10-12,19822.699219,19843.300781,19772.650391,19794.000000,19794.000000,217900
2023-10-13,19654.550781,19805.400391,19635.300781,19751.050781,19751.050781,255000
2023-10-16,19737.250000,19781.300781,19691.849609,19731.750000,19731.750000,181000
2023-10-17,19843.199219,19849.750000,19775.650391,19811.500000,19811.500000,185800
2023-10-18,19820.449219,19840.949219,19659.949219,19671.099609,19671.099609,198900
2023-10-19,19545.199219,19681.800781,19512.349609,19624.699219,19624.699219,230300
2023-10-20,19542.150391,19593.800781,19518.699219,19542.650391,19542.650391,198300
2023-10-23,19521.599609,19556.849609,19257.849609,19281.750000,19281.750000,176000
2023-10-25,19286.449219,19347.300781,19074.150391,19122.150391,19122.150391,225300
2023-10-26,19027.250000,19041.699219,18837.849609,18857.250000,18857.250000,300400
2023-10-27,18928.750000,19076.150391,18926.650391,19047.250000,19047.250000,205200
2023-10-30,19053.400391,19158.500000,18940.000000,19140.900391,19140.900391,180100
2023-10-31,19232.949219,19233.699219,19056.449219,19079.599609,19079.599609,206000
2023-11-01,19064.050781,19096.050781,18973.699219,18989.150391,18989.150391,194100
2023-11-02,19120.000000,19175.250000,19064.150391,19133.250000,19133.250000,245600
2023-11-03,19241.000000,19276.250000,19210.900391,19230.599609,19230.599609,189500
2023-11-06,19345.849609,19423.000000,19309.699219,19411.750000,19411.750000,180700
2023-11-07,19404.050781,19423.500000,19329.099609,19406.699219,19406.699219,198700
2023-11-08,19449.599609,19464.400391,19401.500000,19443.500000,19443.500000,195000
2023-11-09,19457.400391,19463.900391,19378.349609,19395.300781,19395.300781,208400
2023-11-10,19351.849609,19451.300781,19329.449219,19425.349609,19425.349609,152200
2023-11-13,19486.750000,19494.400391,19414.750000,19443.550781,19443.550781,189300
2023-11-15,19651.400391,19693.199219,19579.650391,19675.449219,19675.449219,291500
2023-11-16,19674.699219,19875.250000,19627.000000,19765.199219,19765.199219,282700
2023-11-17,19674.750000,19806.000000,19667.449219,19731.800781,19731.800781,236800
2023-11-20,19731.150391,19756.449219,19670.500000,19694.000000,19694.000000,173800
2023-11-21,19770.900391,19829.099609,19754.050781,19783.400391,19783.400391,195000
2023-11-22,19784.000000,19825.550781,19703.849609,19811.849609,19811.849609,184500
2023-11-23,19828.449219,19875.150391,19786.750000,19802.000000,19802.000000,170000
2023-11-24,19809.599609,19832.849609,19768.849609,19794.699219,19794.699219,145900
